 ,unwrap,not,mul,add,nil_col,eq,and,or,(,i,),$,
unwrap,4,2,2,2,2,2,2,2,4,4,2,2,
not,1,1,2,2,2,2,2,2,1,1,2,2,
mul,1,1,2,2,2,2,2,2,1,1,2,2,
add,1,1,1,2,2,2,2,2,1,1,2,2,
nil_col,1,1,1,1,1,2,2,2,1,1,2,2,
eq,1,1,1,1,1,4,2,2,1,1,2,2,
and,1,1,1,1,1,1,2,2,1,1,2,2,
or,1,1,1,1,1,1,1,2,1,1,2,2,
(,1,1,1,1,1,1,1,1,1,1,3,4,
i,2,4,2,2,2,2,2,2,4,4,2,2,
),4,4,2,2,2,2,2,2,4,4,2,2,
$,1,1,1,1,1,1,1,1,1,1,4,4,
